date,MA8,MA13,MA21,MA34,MA55
2017-01-03,,,,,
2017-01-04,,,,,
2017-01-05,,,,,
2017-01-06,,,,,
2017-01-09,,,,,
2017-01-10,,,,,
2017-01-11,,,,,
2017-01-12,35.87500000000001,,,,
2017-01-13,36.00375000000001,,,,
2017-01-16,35.94750000000001,,,,
2017-01-17,35.92625000000001,,,,
2017-01-18,36.03250000000001,,,,
2017-01-19,36.08250000000002,35.97692307692308,,,
2017-01-20,36.13375000000002,36.150000000000006,,,
2017-01-23,36.32375000000002,36.26384615384616,,,
2017-01-24,36.55125000000002,36.37846153846154,,,
2017-01-25,36.748750000000015,36.46846153846154,,,
2017-01-26,36.94250000000002,36.510769230769235,,,
2017-02-03,37.02375000000002,36.50384615384616,,,
2017-02-06,36.96125000000002,36.549230769230775,,,
2017-02-07,36.91125000000002,36.614615384615384,36.332857142857144,,
2017-02-08,36.93375000000002,36.722307692307695,36.448571428571434,,
2017-02-09,36.92875000000002,36.86769230769231,36.517142857142865,,
2017-02-10,36.98000000000002,37.026923076923076,36.60761904761906,,
2017-02-13,37.14375000000002,37.15230769230769,36.7257142857143,,
2017-02-14,37.35125000000002,37.29153846153846,36.83095238095239,,
2017-02-15,37.60000000000002,37.40615384615384,36.92142857142858,,
2017-02-16,37.85125000000002,37.489230769230765,37.045238095238105,,
2017-02-17,38.16375000000002,37.606923076923074,37.20476190476192,,
2017-02-20,38.702500000000015,37.92461538461538,37.476666666666674,,
2017-02-21,39.14250000000001,38.22153846153846,37.73428571428572,,
2017-02-22,39.57375000000002,38.59615384615384,37.99714285714286,,
2017-02-23,39.81125000000002,38.90615384615384,38.165238095238095,,
2017-02-24,40.01500000000002,39.201538461538455,38.329047619047614,37.42970588235295,
2017-02-27,40.13875000000002,39.378461538461536,38.44714285714286,37.568823529411766,
2017-02-28,40.276250000000026,39.54923076923076,38.55095238095238,37.6764705882353,
2017-03-01,40.40500000000003,39.71461538461537,38.67285714285714,37.79558823529412,
2017-03-02,40.22500000000003,39.820769230769216,38.80095238095238,37.90911764705883,
2017-03-03,40.11625000000003,39.92307692307691,38.943333333333335,38.01323529411765,
2017-03-06,40.02500000000003,40.08846153846153,39.14047619047619,38.13235294117647,
2017-03-07,40.17125000000002,40.333846153846146,39.38809523809524,38.30264705882354,
2017-03-08,40.27500000000002,40.50076923076922,39.610476190476184,38.465,
2017-03-09,40.435000000000024,40.444615384615375,39.78095238095237,38.6114705882353,
2017-03-10,40.57250000000002,40.429230769230756,39.93904761904761,38.76470588235295,
2017-03-13,40.781250000000014,40.45769230769229,40.12095238095237,38.937941176470595,
2017-03-14,40.958750000000016,40.52692307692306,40.2542857142857,39.068235294117656,
2017-03-15,41.15250000000002,40.62307692307691,40.391428571428555,39.20617647058825,
2017-03-16,41.21375000000002,40.749999999999986,40.517142857142844,39.32764705882354,
2017-03-17,41.10250000000002,40.84230769230768,40.62666666666665,39.42705882352942,
2017-03-20,41.098750000000024,40.9276923076923,40.72857142857141,39.535000000000004,
2017-03-21,41.43750000000002,41.19076923076922,40.822857142857124,39.714705882352945,
2017-03-22,41.850000000000016,41.49615384615384,40.97047619047618,39.91941176470589,
2017-03-23,42.08875000000002,41.7276923076923,41.0790476190476,40.129705882352944,
2017-03-24,42.32125000000002,41.849999999999994,41.21047619047617,40.32941176470588,
2017-03-27,42.44750000000002,41.959999999999994,41.31809523809522,40.508823529411764,38.914363636363646
2017-03-28,42.663750000000014,42.12153846153846,41.4790476190476,40.67588235294118,39.06181818181819
2017-03-29,42.95625000000002,42.309230769230766,41.647619047619024,40.84529411764706,39.19272727272728
2017-03-30,43.161250000000024,42.392307692307696,41.77857142857141,40.989411764705885,39.31636363636365
2017-03-31,43.113750000000024,42.51692307692308,41.92333333333331,41.11941176470589,39.44181818181819
2017-04-05,43.00875000000003,42.638461538461534,42.07238095238093,41.25058823529412,39.563090909090924
2017-04-06,42.932500000000026,42.785384615384615,42.186666666666646,41.38441176470588,39.680363636363644
2017-04-07,42.863750000000024,42.93384615384616,42.23619047619046,41.508823529411764,39.80454545454546
2017-04-10,42.752500000000026,42.97769230769231,42.26190476190474,41.5885294117647,39.91472727272728
2017-04-11,42.52500000000003,42.790769230769236,42.27523809523808,41.575294117647054,40.01036363636364
2017-04-12,42.393750000000026,42.643846153846155,42.34142857142855,41.61029411764706,40.13036363636365
2017-04-13,42.403750000000024,42.58615384615385,42.396666666666654,41.65529411764706,40.25854545454546
2017-04-14,42.322500000000026,42.51769230769231,42.44285714285713,41.71029411764705,40.35672727272728
2017-04-17,42.30250000000002,42.54923076923077,42.51047619047618,41.788823529411765,40.46781818181819
2017-04-18,42.418750000000024,42.63461538461539,42.64571428571428,41.92088235294118,40.59454545454547
2017-04-19,42.582500000000024,42.70384615384615,42.79999999999999,42.0514705882353,40.7149090909091
2017-04-20,43.081250000000026,42.928461538461534,43.017142857142844,42.21823529411765,40.864545454545464
2017-04-21,43.668750000000024,43.132307692307684,43.12523809523808,42.38558823529412,41.0169090909091
2017-04-24,43.95125000000002,43.22384615384614,43.141904761904755,42.51264705882353,41.1498181818182
2017-04-25,44.425000000000026,43.50461538461537,43.28666666666666,42.690588235294115,41.33509090909092
2017-04-26,44.84375000000002,43.73615384615384,43.40380952380952,42.809705882352944,41.503272727272744
2017-04-27,45.223750000000024,44.07,43.56809523809524,42.95323529411765,41.676909090909106
2017-04-28,45.426250000000024,44.419999999999995,43.698095238095235,43.09529411764706,41.8298181818182
2017-05-02,45.50125000000003,44.61615384615384,43.76952380952381,43.21117647058823,41.961818181818195
