date,K,D,J,KDJ_½ð²æËÀ²æ
2017-01-13,52.05992509363294,52.05992509363294,52.05992509363293,
2017-01-16,43.138019624230154,46.70678181199126,36.00049524870795,
2017-01-17,42.64881919280805,44.784588992378154,38.377279593667836,
2017-01-18,64.74084814348785,53.07411202437756,88.07432038170843,½ð²æ
2017-01-19,74.57836506775175,61.329299211644425,101.07649677996639,
2017-01-20,81.35346121799599,68.64639901246161,106.76758562906474,
2017-01-23,80.03860238072961,72.6798697533394,94.75606763551002,
2017-01-24,79.63741021984816,75.0932148762981,88.72580090694828,
2017-01-25,77.78461211063099,76.01430700787486,81.32522231614325,
2017-01-26,73.7323046346885,75.24021562120659,70.71648266165235,ËÀ²æ
2017-02-03,62.08981506687737,70.80547868762852,44.65848782537506,
2017-02-06,54.296104176185125,65.25960991750904,32.36909269353731,
2017-02-07,38.55095751091056,56.3107444432102,3.0313836463112693,
2017-02-08,40.74438377868796,51.104122336661575,20.024906662740733,
2017-02-09,46.74183604183252,49.64669864740485,40.93211083068786,
2017-02-10,59.62286359003852,52.97715738134881,72.91427600741794,½ð²æ
2017-02-13,65.53235139364264,57.16647403770819,82.26410610551154,
2017-02-14,70.35816626598306,61.56668213500557,87.94113452793802,
2017-02-15,70.68336865161623,64.60694908364991,82.83620778754889,
2017-02-16,71.56695593220736,66.92764926755855,80.845569261505,
2017-02-17,73.85364772953686,69.23677836908469,83.08738645044119,
2017-02-20,82.5702635246629,73.68186753903692,100.3470554959149,
2017-02-21,84.19427387857915,77.18631524862154,98.21019113849437,
2017-02-22,87.01435958648536,80.46252464520549,100.1180294690451,
2017-02-23,80.25830148731472,80.39444756324458,79.98600933545501,ËÀ²æ
2017-02-24,72.46137243093189,77.75001936915106,61.884078554493556,
2017-02-27,59.021630782742726,71.50711329263017,34.05066576296784,
2017-02-28,51.618729260845164,64.87757415792919,25.101039466677122,
2017-03-01,49.0950061142523,59.61667698925204,28.051664364252815,
2017-03-02,43.762840118180954,54.33203713899588,22.62444607655111,
2017-03-03,38.25432562237059,48.97278133410184,16.817414198908082,
2017-03-06,41.8453045228517,46.59695022360288,32.342013121349325,
2017-03-07,58.50649335176552,50.56680406726157,74.38587192077341,½ð²æ
2017-03-08,64.10721532915345,55.080279137413484,82.16108771263336,
2017-03-09,61.66818302999893,57.2762486097159,70.45205187056497,
2017-03-10,59.84490355437318,58.132467316613685,63.26977602989217,
2017-03-13,71.74845785472402,62.67113221464169,89.9031091348887,
2017-03-14,73.51536570531141,66.28587744707762,87.97434222177898,
2017-03-15,76.87909671886962,69.81695101668835,91.00338812323216,
2017-03-16,69.10541458769791,69.57977218557495,68.15669939194382,ËÀ²æ
2017-03-17,53.68448866001243,64.28134402426892,32.49077793149945,
2017-03-20,48.98762846103403,59.18343863161598,28.59600811987012,
2017-03-21,63.0243936330452,60.46375699973359,68.14566689966841,½ð²æ
2017-03-22,73.19905830271753,64.70885750989709,90.17945988835842,
2017-03-23,76.20677964503953,68.54149826725605,91.53734240060649,
2017-03-24,72.91507250104377,69.99935635676019,78.74650478961092,
2017-03-27,64.94170658328255,68.31347309001075,58.19817356982617,ËÀ²æ
2017-03-28,61.46867539837518,66.03187385141439,52.34227849229677,
2017-03-29,61.917140383891415,64.66029602568011,56.430829100314014,
2017-03-30,59.11728956476933,62.81262720247876,51.72661428935048,
2017-03-31,56.68794913820055,60.771067845584795,48.52171172343205,
2017-04-05,52.26225032677491,57.93479533733785,40.917160305649034,
2017-04-06,47.11540202424383,54.32833089796396,32.68954427680357,
2017-04-07,40.32499669622945,49.66055282927307,21.6538844301422,
2017-04-10,30.189116252693154,43.17007396907264,4.227200819934183,
2017-04-11,29.315718270263325,38.55195540216702,10.843244006455947,
2017-04-12,37.92309371814185,38.34233484080605,37.08461147281345,
2017-04-13,50.010550365883525,42.231740016069885,65.56817106551081,½ð²æ
2017-04-14,54.22591411209764,46.22979804824224,70.21814623980843,
2017-04-17,62.13223012674293,51.53060874121997,83.33547289778885,
2017-04-18,70.31037564019914,57.79053104099319,95.35006483861105,
2017-04-19,74.54025042685055,63.373770836346466,96.87320960785871,
2017-04-20,81.70233030669979,69.4832906598468,106.14040960040577,
2017-04-21,85.40155353781971,74.78937828586628,106.62590404172656,
2017-04-24,79.49754592049885,76.3587674974161,85.77510276666436,
2017-04-25,85.58033116012851,79.4326220516609,97.87574937706376,
2017-04-26,78.80496653612009,79.22340354648028,77.96809251539969,ËÀ²æ
2017-04-27,75.98297204102622,78.14325971132779,71.66239670042307,
2017-04-28,68.7447455883213,75.01042167032341,56.213393424317076,
2017-05-02,55.02523269105832,68.34869201056524,28.378314052044487,
2017-05-03,46.134965253951734,60.944116425025086,16.516662911805014,
2017-05-04,33.892844219477816,51.927025689840775,-2.175518721248096,
2017-05-05,25.86156113794216,43.23853750587336,-8.892391597920238,
2017-05-08,17.241040758627307,34.572705256790535,-17.42228823769915,
2017-05-09,21.93173761012893,30.35904937456974,5.077114081247309,
2017-05-10,25.843603296532347,28.85390068189055,19.823008525815936,
2017-05-11,34.06273619902445,30.590179187601898,41.00785022186956,½ð²æ
2017-05-12,45.05281314367216,35.41105717295874,64.336325085099,
2017-05-15,60.477846522159226,43.76665362269234,93.90023232109301,
2017-05-16,73.65189768143959,53.72840164227483,113.4988897597691,
2017-05-17,75.07158475566293,60.84279601340423,103.52916224018033,
2017-05-18,76.81712956313604,66.16757386331486,98.11624096277839,
2017-05-19,81.29132838455646,71.20882537039542,101.45633441287856,
2017-05-22,83.79192007246296,75.40319027108461,100.56937967521964,
