date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2019-06-18,sh.000858,5714.0130,0.000000,0.000000,0.000000,0.000000
2019-06-19,sh.000858,5839.0500,0.000000,0.000000,0.000000,0.000000
2019-06-20,sh.000858,5935.5710,0.000000,0.000000,0.000000,0.000000
2019-06-21,sh.000858,6081.6680,0.000000,0.000000,0.000000,0.000000
2019-06-24,sh.000858,6068.2950,0.000000,0.000000,0.000000,0.000000
2019-06-25,sh.000858,5978.0020,0.000000,0.000000,0.000000,0.000000
2019-06-26,sh.000858,5988.7800,0.000000,0.000000,0.000000,0.000000
2019-06-27,sh.000858,6121.7740,0.000000,0.000000,0.000000,0.000000
2019-06-28,sh.000858,6036.2690,0.000000,0.000000,0.000000,0.000000
2019-07-01,sh.000858,6324.6760,0.000000,0.000000,0.000000,0.000000
2019-07-02,sh.000858,6240.5800,0.000000,0.000000,0.000000,0.000000
2019-07-03,sh.000858,6144.1700,0.000000,0.000000,0.000000,0.000000
2019-07-04,sh.000858,6094.0110,0.000000,0.000000,0.000000,0.000000
2019-07-05,sh.000858,6127.6340,0.000000,0.000000,0.000000,0.000000
2019-07-08,sh.000858,5862.0960,0.000000,0.000000,0.000000,0.000000
2019-07-09,sh.000858,5851.2950,0.000000,0.000000,0.000000,0.000000
2019-07-10,sh.000858,5822.4020,0.000000,0.000000,0.000000,0.000000
2019-07-11,sh.000858,5784.6310,0.000000,0.000000,0.000000,0.000000
2019-07-12,sh.000858,5796.4250,0.000000,0.000000,0.000000,0.000000
2019-07-15,sh.000858,5952.8680,0.000000,0.000000,0.000000,0.000000
2019-07-16,sh.000858,5978.6180,0.000000,0.000000,0.000000,0.000000
2019-07-17,sh.000858,6015.5500,0.000000,0.000000,0.000000,0.000000
2019-07-18,sh.000858,5863.8670,0.000000,0.000000,0.000000,0.000000
2019-07-19,sh.000858,5879.0230,0.000000,0.000000,0.000000,0.000000
2019-07-22,sh.000858,5749.6050,0.000000,0.000000,0.000000,0.000000
2019-07-23,sh.000858,5863.7520,0.000000,0.000000,0.000000,0.000000
2019-07-24,sh.000858,5998.8520,0.000000,0.000000,0.000000,0.000000
2019-07-25,sh.000858,6108.5160,0.000000,0.000000,0.000000,0.000000
2019-07-26,sh.000858,6097.9480,0.000000,0.000000,0.000000,0.000000
2019-07-29,sh.000858,6147.8470,0.000000,0.000000,0.000000,0.000000
2019-07-30,sh.000858,6156.2030,0.000000,0.000000,0.000000,0.000000
2019-07-31,sh.000858,6155.2190,0.000000,0.000000,0.000000,0.000000
2019-08-01,sh.000858,6137.1570,0.000000,0.000000,0.000000,0.000000
2019-08-02,sh.000858,6043.8600,0.000000,0.000000,0.000000,0.000000
2019-08-05,sh.000858,5986.3410,0.000000,0.000000,0.000000,0.000000
2019-08-06,sh.000858,5867.2060,0.000000,0.000000,0.000000,0.000000
2019-08-07,sh.000858,5759.1490,0.000000,0.000000,0.000000,0.000000
2019-08-08,sh.000858,5860.7090,0.000000,0.000000,0.000000,0.000000
2019-08-09,sh.000858,5793.0600,0.000000,0.000000,0.000000,0.000000
2019-08-12,sh.000858,6026.9430,0.000000,0.000000,0.000000,0.000000
2019-08-13,sh.000858,5963.2080,0.000000,0.000000,0.000000,0.000000
2019-08-14,sh.000858,5999.4810,0.000000,0.000000,0.000000,0.000000
2019-08-15,sh.000858,6117.2130,0.000000,0.000000,0.000000,0.000000
2019-08-16,sh.000858,6158.9020,0.000000,0.000000,0.000000,0.000000
2019-08-19,sh.000858,6455.1770,0.000000,0.000000,0.000000,0.000000
2019-08-20,sh.000858,6436.6080,0.000000,0.000000,0.000000,0.000000
2019-08-21,sh.000858,6504.6350,0.000000,0.000000,0.000000,0.000000
2019-08-22,sh.000858,6483.9140,0.000000,0.000000,0.000000,0.000000
2019-08-23,sh.000858,6463.1040,0.000000,0.000000,0.000000,0.000000
2019-08-26,sh.000858,6423.1710,0.000000,0.000000,0.000000,0.000000
2019-08-27,sh.000858,6562.8100,0.000000,0.000000,0.000000,0.000000
2019-08-28,sh.000858,6532.2200,0.000000,0.000000,0.000000,0.000000
2019-08-29,sh.000858,6661.4640,0.000000,0.000000,0.000000,0.000000
2019-08-30,sh.000858,6567.8820,0.000000,0.000000,0.000000,0.000000
2019-09-02,sh.000858,6853.4580,0.000000,0.000000,0.000000,0.000000
2019-09-03,sh.000858,7078.1210,0.000000,0.000000,0.000000,0.000000
2019-09-04,sh.000858,7120.5530,0.000000,0.000000,0.000000,0.000000
2019-09-05,sh.000858,7253.4770,0.000000,0.000000,0.000000,0.000000
2019-09-06,sh.000858,7285.2530,0.000000,0.000000,0.000000,0.000000
2019-09-09,sh.000858,7611.8360,0.000000,0.000000,0.000000,0.000000
2019-09-10,sh.000858,7435.6140,0.000000,0.000000,0.000000,0.000000
2019-09-11,sh.000858,7414.5230,0.000000,0.000000,0.000000,0.000000
2019-09-12,sh.000858,7407.8940,0.000000,0.000000,0.000000,0.000000
2019-09-16,sh.000858,7544.3110,0.000000,0.000000,0.000000,0.000000
2019-09-17,sh.000858,7351.1130,0.000000,0.000000,0.000000,0.000000
2019-09-18,sh.000858,7348.5710,0.000000,0.000000,0.000000,0.000000
